Joint,MSE,RMSE,MAE,R2
pelvis,5.515700340270996,2.3485528182842716,1.86536705493927,0.7865089178085327
shoulders,10.373444557189941,3.2207832210799197,2.3180124759674072,0.968049168586731
trunk,12.291254043579102,3.5058884813380904,2.5799007415771484,0.9683866500854492
right thigh,15.605501174926758,3.950379877293671,2.7639622688293457,0.9030778408050537
left thigh,15.907983779907227,3.9884813876846947,2.753814697265625,0.8965867757797241
right foot,21.060115814208984,4.5891301805689695,3.264185667037964,0.9607843160629272
right hip,22.119197845458984,4.703105128046681,3.0916385650634766,0.9960213303565979
left foot,22.370174407958984,4.729711873672537,3.385526180267334,0.9235683679580688
left shank,22.9628849029541,4.791960444635796,3.05361008644104,0.823627233505249
right knee,24.246315002441406,4.924054731868991,2.894440174102783,0.9960813522338867
left knee,24.725074768066406,4.9724314744465214,2.832928419113159,0.996049702167511
left hip,24.876649856567383,4.987649732746616,3.174071788787842,0.9942306280136108
head,27.020837783813477,5.1981571526660755,3.482442855834961,0.9554280042648315
left ankle,30.810129165649414,5.550687269667551,3.8509531021118164,0.95438152551651
right shank,30.848173141479492,5.554113173268933,3.34934401512146,0.7824089527130127
right arm,31.296199798583984,5.594300653216985,4.019917964935303,0.9688428640365601
left arm,34.754600524902344,5.895303259790996,4.1238861083984375,0.9649870991706848
right ankle,35.7985725402832,5.983190832681438,3.867753744125366,0.9571703672409058
right elbow,36.57938766479492,6.04808958802653,4.024853229522705,0.9927235245704651
right shoulder,40.21182632446289,6.341279549464989,4.319393634796143,0.9903814792633057
left elbow,43.39380645751953,6.58739754816115,4.312132835388184,0.9913814067840576
left shoulder,43.46459197998047,6.592768157608795,4.43752384185791,0.9905715584754944
left forearm,47.8078498840332,6.914322084198363,4.816347122192383,0.9572086930274963
right forearm,50.14450454711914,7.081278454284871,4.923861980438232,0.9536784291267395
